Transaction Date,Post Date,Description,Category,Type,Amount,Memo
06/30/2025,06/30/2025,OPENAI *CHATGPT SUBSCR,Shopping,Sale,-21.60,
06/28/2025,06/30/2025,BURGER KING #17662,Food & Drink,Sale,-14.07,
06/28/2025,06/29/2025,WAWA 758,Gas,Sale,-41.29,
06/27/2025,06/27/2025,Payment Thank You-Mobile,,Payment,1200.68,
06/25/2025,06/26/2025,BOULEVARD SUPER LIQUORS,Food & Drink,Sale,-47.96,
06/25/2025,06/25/2025,SP SHIRTINABOX-US,Shopping,Sale,-64.99,
06/23/2025,06/24/2025,SPEEDWAY 44934,Gas,Sale,-29.18,
06/23/2025,06/24/2025,BOULEVARD SUPER LIQUORS,Food & Drink,Sale,-96.99,
06/21/2025,06/23/2025,SHADOW LAKE,Food & Drink,Sale,-111.00,
06/21/2025,06/22/2025,TIN CUP SOCIAL,Food & Drink,Sale,-13.50,
06/20/2025,06/22/2025,CREEM.IO*AI VIDEO GENE,Shopping,Sale,-49.90,
06/13/2025,06/16/2025,ARMK FENWAY CONCESSION,Food & Drink,Sale,-13.73,
06/13/2025,06/16/2025,ARMK FENWAY CONCESSION,Food & Drink,Sale,-27.46,
06/13/2025,06/16/2025,ARMK FENWAY CONCESSION,Food & Drink,Sale,-31.72,
06/13/2025,06/15/2025,MBTA GOVT CENTER,Travel,Sale,-4.80,
06/12/2025,06/13/2025,AMAZON MKTPL*NH6MY4IC0,Shopping,Sale,-15.85,
06/10/2025,06/12/2025,CUFFY'S OF WEST DENNIS,Shopping,Sale,-33.98,
06/10/2025,06/11/2025,MOONSHINE LIQUORS,Food & Drink,Sale,-29.99,
06/10/2025,06/11/2025,SQSP* INV185539506,Professional Services,Sale,-14.00,
06/08/2025,06/09/2025,MCDONALD'S F25927,Food & Drink,Sale,-12.50,
06/07/2025,06/09/2025,BLUE HERON GOLF COURSE,Entertainment,Sale,-7.79,
06/08/2025,06/09/2025,YARMOUTH WINE &amp; SPIRITS,Food & Drink,Sale,-17.59,
06/07/2025,06/09/2025,BLUE HERON GOLF COURSE,Entertainment,Sale,-66.95,
06/05/2025,06/08/2025,FIVE GUYS NY 1639 QSR,Food & Drink,Sale,-15.14,
06/04/2025,06/05/2025,BRUSTER'S REAL ICE CREAM,Food & Drink,Sale,-7.66,
06/03/2025,06/04/2025,COSTCO WHSE #1195,Shopping,Sale,-184.23,
06/01/2025,06/03/2025,Sycamore Golf Club,Entertainment,Sale,-49.00,
06/01/2025,06/02/2025,Sycamore Golf Club,Entertainment,Sale,-7.75,
06/02/2025,06/02/2025,HELP.MAX.COM,Entertainment,Sale,-9.99,
05/31/2025,06/01/2025,TIN CUP SOCIAL,Food & Drink,Sale,-14.50,
05/30/2025,06/01/2025,SPEEDWAY 44934,Gas,Sale,-16.25,
05/30/2025,05/30/2025,OPENAI *CHATGPT SUBSCR,Shopping,Sale,-21.60,
05/26/2025,05/27/2025,TARGET        00011957,Shopping,Sale,-50.18,
05/25/2025,05/26/2025,SP SHIRTINABOX-US,Shopping,Sale,-64.99,
05/25/2025,05/26/2025,Sycamore Golf Club,Entertainment,Sale,-69.51,
05/24/2025,05/25/2025,Payment Thank You-Mobile,,Payment,702.82,
05/22/2025,05/23/2025,SPEEDWAY 44934,Gas,Sale,-39.94,
05/21/2025,05/23/2025,BP#121580035926 7-ELEVEN,Gas,Sale,-37.57,
05/22/2025,05/23/2025,CHASE HOME LEND ME CD,Professional Services,Sale,-500.00,
05/21/2025,05/22/2025,EXXON PALMETTO ROADS #,Gas,Sale,-33.56,
05/20/2025,05/21/2025,BOLT (BY STACKBLITZ),Shopping,Sale,-20.00,
05/19/2025,05/21/2025,CHICK-FIL-A #01954,Food & Drink,Sale,-6.20,
05/20/2025,05/20/2025,Payment Thank You-Mobile,,Payment,935.27,
05/18/2025,05/20/2025,RIVERDOGS CBC CONCESSI,Food & Drink,Sale,-11.10,
05/18/2025,05/20/2025,TST*LEONS OYSTER SHOP -,Food & Drink,Sale,-35.86,
